angle,distance
3.0933234691619873,0.5339999794960022
3.104231595993042,0.5410000085830688
-3.067143440246582,0.0
-3.054598808288574,0.0
-3.0420541763305664,0.0
-3.02978253364563,0.0
3.141047239303589,1.4730000495910645
-3.0046932697296143,0.0
-2.9921488761901855,0.0
-2.97987699508667,0.0
-2.967332363128662,0.0
-2.9547877311706543,0.0
-2.9422433376312256,0.0
-2.92997145652771,0.0
-3.030055046081543,0.800000011920929
-3.015601634979248,0.7519999742507935
-3.0019662380218506,0.7200000286102295
-2.88006591796875,0.0
-2.867521286010742,0.0
-2.960787296295166,0.6399999856948853
-2.8424322605133057,0.0
-2.9310622215270996,0.5609999895095825
-2.916881561279297,0.5360000133514404
-2.8050713539123535,0.0
-2.7925267219543457,0.0
-2.78025484085083,0.0
-2.7677104473114014,0.0
-2.7551658153533936,0.0
-2.7426211833953857,0.0
-2.73034930229187,0.0
-2.8086163997650146,0.4429999887943268
-2.7938902378082275,0.42500001192092896
-2.7813456058502197,0.42399999499320984
-2.7649831771850586,0.3919999897480011
-2.7521660327911377,0.38999998569488525
-2.738257884979248,0.38199999928474426
-2.7240772247314453,0.3709999918937683
-2.710714340209961,0.36399999260902405
-2.6970789432525635,0.3569999933242798
-2.683171033859253,0.3499999940395355
-2.6695356369018555,0.34299999475479126
-2.6569910049438477,0.3370000123977661
-2.6439011096954346,0.3330000042915344
-2.5569071769714355,0.0
-2.544362783432007,0.0
-2.6032676696777344,0.3160000145435333
-2.5907230377197266,0.3160000145435333
-2.5759968757629395,0.3050000071525574
-2.560452461242676,0.2930000126361847
-2.5484533309936523,0.2939999997615814
-2.5356361865997314,0.2919999957084656
-2.522273302078247,0.289000004529953
-2.5080926418304443,0.28200000524520874
-2.494729995727539,0.27900001406669617
-2.481639862060547,0.2759999930858612
-2.4680044651031494,0.2720000147819519
-2.4549145698547363,0.26899999380111694
-2.441551923751831,0.26600000262260437
-2.428189277648926,0.2630000114440918
-2.4150993824005127,0.25999999046325684
-2.4014639854431152,0.25699999928474426
-2.38810133934021,0.2540000081062317
-2.3750112056732178,0.25200000405311584
-2.3616485595703125,0.24899999797344208
-2.3482859134674072,0.24699999392032623
-2.3354685306549072,0.24500000476837158
-2.322105884552002,0.24199999868869781
-2.309015989303589,0.2409999966621399
-2.296198844909668,0.23899999260902405
-2.2345669269561768,0.0
-2.2531111240386963,0.19900000095367432
-2.2340214252471924,0.18799999356269836
-2.1974785327911377,0.0
-2.185206651687622,0.0
-2.216840982437134,0.22699999809265137
-2.204023599624634,0.22599999606609344
-2.191478967666626,0.22599999606609344
-2.1781160831451416,0.22300000488758087
-2.1644809246063232,0.22100000083446503
-2.1519362926483154,0.2199999988079071
-2.1388461589813232,0.21899999678134918
-2.125211000442505,0.21799999475479126
-2.112666368484497,0.21699999272823334
-2.099303960800171,0.2150000035762787
-2.086759328842163,0.21400000154972076
-2.0742146968841553,0.21400000154972076
-2.060851812362671,0.21199999749660492
-2.048034906387329,0.210999995470047
-2.035217523574829,0.20999999344348907
-2.0229456424713135,0.20999999344348907
-2.0101282596588135,0.20900000631809235
-1.997038722038269,0.20800000429153442
-1.984221339225769,0.2070000022649765
-1.9719494581222534,0.2070000022649765
-1.9588593244552612,0.20600000023841858
-1.9460419416427612,0.20499999821186066
-1.9337705373764038,0.20499999821186066
-1.9209531545639038,0.20399999618530273
-1.908408522605896,0.20399999618530273
-1.8961366415023804,0.20399999618530273
-1.8833192586898804,0.2029999941587448
-1.8702296018600464,0.20200000703334808
-1.8579577207565308,0.20200000703334808
-1.8456858396530151,0.20200000703334808
-1.832595705986023,0.20100000500679016
-1.8203238248825073,0.20100000500679016
-1.8080519437789917,0.20100000500679016
-1.7955073118209839,0.20100000500679016
-1.7832359075546265,0.20100000500679016
-1.7709640264511108,0.20100000500679016
-1.7586921453475952,0.20100000500679016
-1.7461475133895874,0.20100000500679016
-1.7336028814315796,0.20000000298023224
-1.721331000328064,0.20000000298023224
-1.7087863683700562,0.20000000298023224
-1.6965144872665405,0.20000000298023224
-1.684242606163025,0.20000000298023224
-1.6716984510421753,0.20000000298023224
-1.6596993207931519,0.20100000500679016
-1.6474274396896362,0.20100000500679016
-1.6348828077316284,0.20100000500679016
-1.6220654249191284,0.20100000500679016
-1.6097935438156128,0.20100000500679016
-1.5980671644210815,0.20200000703334808
-1.5855225324630737,0.20200000703334808
-1.573250651359558,0.20200000703334808
-1.5615242719650269,0.2029999941587448
-1.548979640007019,0.2029999941587448
-1.5367077589035034,0.2029999941587448
-1.5249813795089722,0.20399999618530273
-1.5124367475509644,0.20399999618530273
-1.500710368156433,0.20499999821186066
-1.4884384870529175,0.20499999821186066
-1.476439356803894,0.20600000023841858
-1.4647129774093628,0.2070000022649765
-1.4524410963058472,0.2070000022649765
-1.4404419660568237,0.20800000429153442
-1.4287155866622925,0.20900000631809235
-1.4169892072677612,0.20999999344348907
-1.4044445753097534,0.20999999344348907
-1.39244544506073,0.210999995470047
-1.3807190656661987,0.21199999749660492
-1.3687199354171753,0.21299999952316284
-1.356993556022644,0.21400000154972076
-1.3449944257736206,0.2150000035762787
-1.3329952955245972,0.2160000056028366
-1.321268916130066,0.21699999272823334
-1.3092697858810425,0.21799999475479126
-1.297270655632019,0.21899999678134918
-1.2855442762374878,0.2199999988079071
-1.2740906476974487,0.22200000286102295
-1.262091040611267,0.22300000488758087
-1.2500919103622437,0.2240000069141388
-1.2386382818222046,0.22599999606609344
-1.2266391515731812,0.22699999809265137
-1.21491277217865,0.2280000001192093
-1.2034591436386108,0.23000000417232513
